text,parsed,confirmed
remind me to z in 2 minutes,remind me to z in 2 minutes,z
remind me to drink water in 5 minutes,remind me to drink water in 5 minutes,drink water
sasha, you're asking to remind you at 05-17-2020 23:42:33 to remind me to go to sleep in 1 hour, right?,remind me to go to sleep in 1 hour,remind me to go to sleep in 1 hour
remind me to drink water in 5 minutes,remind me to drink water in 5 minutes,drink water
remind me to watch spacex launch in 50 minutes,remind me to watch spacex launch in 50 minutes,watch spacex launch
sasha, you're asking to remind you at 05-31-2020 02:49:52 to drink water, right?,remind me to drink water in 5 minutes,remind me to drink water in 5 minutes
Sasha, you're asking to remind you at 05-31-2020 02:53:13 to drink water, right?,remind me to drink water in 5 minutes,remind me to drink water in 5 minutes
Sasha, you're asking to remind you at 06-01-2020 23:50:21 to drink water, right?,remind me to drink water in 5 minutes,remind me to drink water in 5 minutes
Sasha, you're asking to remind you at 06-02-2020 00:25:39 to water plants, right?,remind me to water plants in 10 minutes,remind me to water plants in 10 minutes
Sasha, you're asking to remind you at 06-02-2020 00:20:59 to drink water, right?,remind me to drink water in 5 minutes,remind me to drink water in 5 minutes
Sasha, you're asking to remind you at 06-03-2020 01:14:22 to drink water, right?,remind me to drink water in 5 minutes,remind me to drink water in 5 minutes
Sasha, you're asking to remind you at 06-07-2020 03:12:51 to drink water, right?,remind me to drink water in 1 minute,remind me to drink water in 1 minute
Sasha, you're asking to remind you at 06-07-2020 03:22:36 to drink water, right?,drink water,drink water
Sasha, you're asking to remind you at 06-07-2020 23:31:45 to take my pills in 45 seconds [SEP], right?,take my pills in 45 seconds [SEP],take my pills in 45 seconds [SEP]
Sasha, you're asking to remind you at 06-07-2020 23:32:48 to drink water, right?,take my pills in 45 second [SEP],take my pills in 45 second [SEP]
I'm kisulka, you're asking to remind you at 06-11-2020 02:57:37 to go fuck yourself, right?,go fuck yourself,go fuck yourself
